Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN
2024-10-31,21092.828125,66094.0078125,39028.62109375,24395.09375,104738.1953125,114893.0859375,66297.8359375,32138.470703125,17284.806640625,22416.666015625,26278.3828125,16300.28515625,76600.0,65556.734375,39767.02734375,48070.23828125,8102.4052734375,16550.0,25939.130859375,35200.0,23283.2265625,15303.310546875,62155.0078125,41500.0,15899.9189453125,20775.0,105000.0,60505.96875,19908.994140625,17850.0
2024-11-01,20677.61328125,65700.0,39028.62109375,24326.76171875,103898.796875,113794.0234375,66015.7109375,31552.357421875,17059.912109375,22125.0,26158.75390625,16007.4658203125,74500.0,65063.828125,39283.2421875,48157.32421875,8064.1865234375,16950.0,25549.068359375,35000.0,23088.38671875,15082.1640625,62088.6015625,41500.0,15816.0146484375,20600.0,104700.0,60231.3515625,19616.931640625,17750.0
2024-11-04,20553.048828125,65800.0,38987.7578125,24395.09375,103059.3984375,112272.265625,65733.59375,30819.71875,16738.6328125,21916.666015625,25799.869140625,15909.859375,73200.0,64176.59375,38605.9453125,48331.48828125,7987.748046875,16700.0,25597.826171875,34900.0,22844.83984375,14639.87109375,61424.5546875,41500.0,15522.3486328125,20600.0,104000.0,60048.28125,19178.8359375,17700.0
2024-11-05,20553.048828125,,38742.55078125,23950.92578125,,112103.1875,65451.4765625,,16738.6328125,22083.333984375,25839.74609375,15909.859375,,,,,8064.1865234375,,,,,14639.87109375,61490.9609375,,15522.3486328125,20650.0,,,,
2024-11-06,20843.701171875,67400.0,39273.828125,24531.76171875,104178.6015625,113794.0234375,65921.671875,32968.796875,16963.529296875,22458.333984375,25959.373046875,16170.142578125,74200.0,64669.50390625,38847.8359375,48592.7421875,8140.62451171875,16900.0,25792.857421875,35500.0,23283.2265625,14993.705078125,61690.17578125,41550.0,15606.2529296875,20900.0,104900.0,60231.3515625,19324.8671875,18050.0
2024-11-07,20843.701171875,67400.0,38906.01953125,24326.76171875,104924.7265625,114216.7421875,65921.671875,32578.052734375,16867.14453125,22458.333984375,25999.25,16137.6083984375,73300.0,64472.33984375,38992.97265625,48418.5703125,8102.4052734375,16850.0,25695.341796875,35600.0,23234.517578125,14861.017578125,61889.390625,41400.0,15522.3486328125,20850.0,104300.0,60322.89453125,19178.8359375,18050.0
2024-11-08,20677.61328125,66600.0,38742.55078125,23916.759765625,104365.1328125,114808.5390625,65827.6328125,32138.470703125,16867.14453125,22500.0,25680.240234375,15974.9306640625,72300.0,64078.01171875,38751.08203125,48070.23828125,8064.1865234375,16750.0,25451.552734375,35500.0,22990.96875,14728.3291015625,61225.34375,40000.0,15354.5390625,20525.0,104600.0,60139.81640625,18984.126953125,17950.0
2024-11-11,20636.091796875,67500.0,38006.93359375,23882.591796875,107442.921875,116922.09375,65921.671875,32626.89453125,16417.353515625,23083.333984375,25321.35546875,15812.2529296875,73500.0,62106.3828125,37977.02734375,48157.32421875,8025.96728515625,16700.0,25061.490234375,33800.0,22601.291015625,14330.2666015625,61092.53125,40600.0,15270.634765625,20400.0,104500.0,59682.1328125,18692.0625,18000.0
2024-11-12,20636.091796875,67800.0,37843.4609375,23575.08984375,107815.984375,115653.96875,65639.5625,32138.470703125,16577.994140625,22916.666015625,25281.478515625,15682.1103515625,72500.0,59937.5859375,38122.16015625,49289.40625,7987.748046875,16650.0,25061.490234375,33550.0,22455.162109375,14241.8076171875,61026.125,40300.0,15396.4912109375,20275.0,104500.0,59407.51953125,18594.708984375,18000.0
2024-11-13,20677.61328125,67900.0,37720.859375,23472.58984375,108748.6484375,116499.390625,65357.4375,31796.572265625,16481.609375,22541.666015625,25361.232421875,15714.646484375,73000.0,61021.984375,37638.37890625,49463.578125,7987.748046875,16700.0,24817.703125,33400.0,22552.58203125,14286.037109375,61424.5546875,40300.0,15354.5390625,20300.0,103600.0,59499.05859375,18838.095703125,18100.0
